name,address,date,time,website,maps_url,maps_url_check
HIVE,"4428 Convoy St Suite #100, San Diego, CA 92111",TBA,TBA,https://www.facebook.com/HIVECK/,"https://www.google.com/maps/place/HIVE/@32.8205392,-117.1582048,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbff9355092505:0xf08a4f5a297be0db!8m2!3d32.8205392!4d-117.1560108",good
Chilly Willy's,"3039 Claremont Ave, Evansville, IN 47712",TBA,TBA,https://www.facebook.com/Chilly-Willys-Pub-107633066351/,"https://www.google.com/maps/place/Chilly+Willy's/@37.9714102,-87.6131386,15z/data=!4m5!3m4!1s0x0:0xe4f5d94be7880820!8m2!3d37.9714102!4d-87.6131386",good
Connor's Pub,"6331 Ferguson St, Indianapolis, IN 46220",TBA,TBA,http://connors-pub.com/,"https://www.google.com/maps/place/Connor's/@39.8715869,-86.1436045,15z/data=!4m12!1m6!3m5!1s0x0:0xa4839e897bdbaf33!2sConnor's!8m2!3d39.8715869!4d-86.1436045!3m4!1s0x0:0xa4839e897bdbaf33!8m2!3d39.8715869!4d-86.1436045",good
Expo Bowl,"5261 Elmwood Ave, Indianapolis, IN 46203",TBA,TBA,http://www.royalpin.com/expo,"https://www.google.com/maps/place/Expo+Bowling+Center/@39.7045026,-86.0776667,15z/data=!4m5!3m4!1s0x0:0x6d3ae7418a3ee403!8m2!3d39.7045026!4d-86.0776667",good
French Lick Resort,"8670 West State Road 56, French Lick, IN 47432",TBA,TBA,https://www.frenchlick.com/,"https://www.google.com/maps/place/French+Lick+Springs+Hotel/@38.551993,-86.619922,15z/data=!4m5!3m4!1s0x0:0xf92d2dee5046d1ab!8m2!3d38.551993!4d-86.619922",good
Kilroy's Restaurant,"201 S Meridian St, Indianapolis, IN 46225",TBA,TBA,http://www.kilroysindy.com/,"https://www.google.com/maps/place/Kilroy's/@39.7640632,-86.158052,15z/data=!4m12!1m6!3m5!1s0x0:0x30faa32e2ca101d4!2sKilroy's!8m2!3d39.7640632!4d-86.158052!3m4!1s0x0:0x30faa32e2ca101d4!8m2!3d39.7640632!4d-86.158052",good
Martini's Steak and Seafood,"1004 Calumet Avenue, Valparaiso, IN 46383",TBA,TBA,http://martinisinvalpo.com/dinner-menu/,"https://www.google.com/maps/place/Martinis+Steak+%26+Seafood/@41.4772271,-87.055554,15z/data=!4m12!1m6!3m5!1s0x0:0xe334afc7313410e9!2sMartinis+Steak+%26+Seafood!8m2!3d41.4772271!4d-87.055554!3m4!1s0x0:0xe334afc7313410e9!8m2!3d41.4772271!4d-87.055554",good
O'Rourke's Public House,"1044 E Angela Blvd #103, South Bend, IN 46617",TBA,TBA,http://www.orourkespubhouse.com/,"https://www.google.com/maps/place/O'Rourke's+Public+House/@41.6939561,-86.232461,16z/data=!3m1!5s0x8816cd677cb37c77:0xad0170a71682e990!4m12!1m6!3m5!1s0x0:0xe047fa8dee3f6f7b!2sO'Rourke's+Public+House!8m2!3d41.6926113!4d-86.2357464!3m4!1s0x0:0xe047fa8dee3f6f7b!8m2!3d41.6926113!4d-86.2357464",good
RJ's Pub,"705 County Road 6 E, Ste 111, Elkhart, IN 46514",TBA,TBA,http://www.barelkhart.com/,"https://www.google.com/maps/place/RJ's+Pub/@41.7234235,-85.9691945,14.97z/data=!4m12!1m6!3m5!1s0x0:0x7bc1c1f232e583d4!2sRJ's+Pub!8m2!3d41.7234809!4d-85.969175!3m4!1s0x0:0x7bc1c1f232e583d4!8m2!3d41.7234809!4d-85.969175",good
Rick's Boatyard,"4050 Dandy Trail, Indianapolis, IN 46254",TBA,TBA,http://ricksboatyard.com/,"https://www.google.com/maps/place/Rick's+Cafe+Boatyard/@39.8266063,-86.301006,14.01z/data=!4m12!1m6!3m5!1s0x0:0x7a2e413ba6885f3e!2sRick's+Cafe+Boatyard!8m2!3d39.8275215!4d-86.3008205!3m4!1s0x0:0x7a2e413ba6885f3e!8m2!3d39.8275215!4d-86.3008205",good
Santorini Greek Kitchen,"1417 Prospect St, Indianapolis, IN 46203",TBA,TBA,http://santorini-greek-kitchen.com/,"https://www.google.com/maps/place/Santorini+Greek+Kitchen/@39.7521494,-86.135087,15z/data=!4m12!1m6!3m5!1s0x0:0xac730e9e4cd7fc8b!2sSantorini+Greek+Kitchen!8m2!3d39.7521494!4d-86.135087!3m4!1s0x0:0xac730e9e4cd7fc8b!8m2!3d39.7521494!4d-86.135087",good
The Chug,"409 N Martin St, Muncie, IN 47303",TBA,TBA,http://www.thechugmuncie.com/home.html,"https://www.google.com/maps/place/The+Chug/@40.1970206,-85.4060148,15z/data=!4m12!1m6!3m5!1s0x0:0x71337715f70c4de!2sThe+Chug!8m2!3d40.1970206!4d-85.4060148!3m4!1s0x0:0x71337715f70c4de!8m2!3d40.1970206!4d-85.4060148",good
The Track Lounge,"318 N Jackson St, Crown Point, IN 46307",TBA,TBA,http://thetracklounge.com/,"https://www.google.com/maps/place/The+Track+Lounge/@41.4219152,-87.3593774,15z/data=!4m12!1m6!3m5!1s0x0:0xc94396b1b5441fd0!2sThe+Track+Lounge!8m2!3d41.4219152!4d-87.3593774!3m4!1s0x0:0xc94396b1b5441fd0!8m2!3d41.4219152!4d-87.3593774",good
Tolon,"614 Harrison St, Fort Wayne, IN 46802",TBA,TBA,http://tolonrestaurant.com/,"https://www.google.com/maps/place/Tolon/@41.0808442,-85.1418632,15z/data=!4m12!1m6!3m5!1s0x0:0x26f09221b7c1d953!2sTolon!8m2!3d41.0808442!4d-85.1418632!3m4!1s0x0:0x26f09221b7c1d953!8m2!3d41.0808442!4d-85.1418632",good
Woodland Bowl,"3421 E 96th St, Indianapolis, IN 46240",TBA,TBA,http://www.royalpin.com/woodland/,"https://www.google.com/maps/place/Woodland+Bowling+Center/@39.9247951,-86.1084383,15z/data=!4m12!1m6!3m5!1s0x0:0x590ead547ce32577!2sWoodland+Bowling+Center!8m2!3d39.9247951!4d-86.1084383!3m4!1s0x0:0x590ead547ce32577!8m2!3d39.9247951!4d-86.1084383",good
Yard Line Bar & Grill,"6466 E 82nd St, Indianapolis, IN 46250",TBA,TBA,https://www.facebook.com/Yardlinebarandgrill/?rf=1408960042669769,"https://www.google.com/maps/place/The+Yard+Line/@39.90648,-86.055785,15z/data=!4m12!1m6!3m5!1s0x0:0x6b396475a0f133d5!2sThe+Yard+Line!8m2!3d39.90648!4d-86.055785!3m4!1s0x0:0x6b396475a0f133d5!8m2!3d39.90648!4d-86.055785",good
